method,N,dim,k,ef_search,num_queries,M,ef_construction,leaf_capacity,finger_rank,finger_warmup,num_pivots,hnsw_build_sec,pctree_build_sec,mtree_build_sec,vptree_build_sec,vtree_build_sec,finger_build_sec,recall_at_k,avg_latency_us,speedup_vs_hnsw,recall_loss_vs_hnsw
Normal HNSW,1000000,960,30,50,1000,16,200,64,16,8,2,2263.759564,362.4856959,74.81919024,12.48464906,976.7406289,289.8588358,0.6579333357,767.218751,1,0
HNSW + FINGER,1000000,960,30,50,1000,16,200,64,16,8,2,2263.759564,362.4856959,74.81919024,12.48464906,976.7406289,289.8588358,0.334266672,245.28998,3.127803064,0.3236666638
MTree -> HNSW,1000000,960,30,50,1000,16,200,64,16,8,2,2263.759564,362.4856959,74.81919024,12.48464906,976.7406289,289.8588358,0.6563333357,501.768314,1.529029892,0.001600000031
MTree -> FINGER,1000000,960,30,50,1000,16,200,64,16,8,2,2263.759564,362.4856959,74.81919024,12.48464906,976.7406289,289.8588358,0.3327000049,218.940491,3.504234176,0.3252333308
PCTree -> HNSW,1000000,960,30,50,1000,16,200,64,16,8,2,2263.759564,362.4856959,74.81919024,12.48464906,976.7406289,289.8588358,0.6581666692,393.515524,1.949653074,-0.000233333461
PCTree -> FINGER,1000000,960,30,50,1000,16,200,64,16,8,2,2263.759564,362.4856959,74.81919024,12.48464906,976.7406289,289.8588358,0.3267000046,178.894889,4.288656626,0.3312333311
VPTree -> HNSW,1000000,960,30,50,1000,16,200,64,16,8,2,2263.759564,362.4856959,74.81919024,12.48464906,976.7406289,289.8588358,0.6561000021,408.815235,1.876688257,0.001833333679
VPTree -> FINGER,1000000,960,30,50,1000,16,200,64,16,8,2,2263.759564,362.4856959,74.81919024,12.48464906,976.7406289,289.8588358,0.3317666716,190.23122,4.033085374,0.3261666641
VTree -> HNSW,1000000,960,30,50,1000,16,200,64,16,8,2,2263.759564,362.4856959,74.81919024,12.48464906,976.7406289,289.8588358,0.6551000023,2391.191691,0.3208520479,0.002833333477
VTree -> FINGER,1000000,960,30,50,1000,16,200,64,16,8,2,2263.759564,362.4856959,74.81919024,12.48464906,976.7406289,289.8588358,0.3309333385,2065.369937,0.371467957,0.3269999972
